date,exposure,r_v30,r_v31,qqq_ret
1987-05-12,1.0226,-0.00141582,-0.00141534,-0.00138000
1987-05-13,1.0226,0.00716348,0.00716396,0.00701000
1987-05-14,1.0226,0.00240856,0.00240905,0.00236000
1987-05-15,1.0226,-0.01514884,-0.01514836,-0.01481000
1987-05-18,1.0226,-0.01333890,-0.01333842,-0.01304000
1987-05-19,1.0226,-0.02197956,-0.02197908,-0.02149000
1987-05-20,1.0226,0.00134510,0.00134558,0.00132000
1987-05-21,1.0226,0.00542512,0.00542561,0.00531000
1987-05-22,1.0226,-0.00569014,-0.00568965,-0.00556000
1987-05-26,1.0226,0.01989438,0.01989487,0.01946000
1987-05-27,1.0226,0.00435143,0.00435191,0.00426000
1987-05-28,1.0226,0.01186727,0.01186775,0.01161000
1987-05-29,1.0226,0.00360496,0.00360544,0.00353000
1987-06-01,1.0226,-0.01574193,-0.01574144,-0.01539000
1987-06-02,1.0226,-0.00745917,-0.00745869,-0.00729000
1987-06-03,1.0226,0.00699987,0.00700035,0.00685000
1987-06-04,1.0226,0.00274601,0.00274649,0.00269000
1987-06-05,1.0226,-0.00311328,-0.00311279,-0.00304000
1987-06-08,1.0226,0.01021072,0.01021120,0.00999000
1987-06-09,1.0226,0.01059929,0.01059977,0.01037000
1987-06-10,1.0226,0.00296075,0.00296123,0.00290000
1987-06-11,1.0226,-0.00188620,-0.00188572,-0.00184000
1987-06-12,1.0226,0.00376857,0.00376905,0.00369000
1987-06-15,1.0226,-0.00406426,-0.00406378,-0.00397000
1987-06-16,1.0226,0.00832920,0.00832968,0.00815000
1987-06-17,1.0226,0.00098720,0.00098768,0.00097000
1987-06-18,1.0226,0.00562963,0.00563012,0.00551000
1987-06-19,1.0226,-0.00168169,-0.00168121,-0.00164000
1987-06-22,1.0226,0.00454572,0.00454620,0.00445000
1987-06-23,1.0226,-0.00559810,-0.00559762,-0.00547000
1987-06-24,1.0226,0.00036344,0.00036392,0.00036000
1987-06-25,1.0226,-0.00295989,-0.00295941,-0.00289000
1987-06-26,1.0226,-0.00150785,-0.00150737,-0.00147000
